N_LINHA,N_CATEGORIA,N_PRODUTO,QTD_ITEM,V_VENDA,V_CUSTO_VENDA,V_PERC_MARGEM_T,CLASSIFICACAO
1,1,1,2400.0,6192.0,60.0,0.4493,EB
1,1,1,216.0,555.12,2.3,0.4527,EA
1,2,3,82.0,1616.94,2.3,0.6474,CB
1,1,1,48.0,1247.52,2.3,0.7607,DB
4,4,9,63.0,774.19,2.3,0.6946,DA
1,1,2,11000.0,3520.0,60.0,0.5198,BB
1,3,4,18.0,462.74,2.3,0.6985,DB
2,2,2,240.0,1899.6,2.3,0.7365,CB
4,6,12,66.0,731.49,2.3,0.5639,DA
4,4,9,55.0,339.41,2.3,0.41,EA
3,4,10,32.0,306.13,2.3,0.4884,EA
3,4,9,36.0,896.35,2.3,0.7189,DA
1,2,3,192.0,1509.32,2.3,0.5863,CB
1,1,1,150.0,1777.5,2.3,0.6367,CB
3,4,9,62.0,515.86,2.3,0.4018,EA
3,7,14,38.0,494.99,2.3,0.6479,DA
1,1,2,324.0,2167.8,2.3,0.5512,CB
3,4,10,46.0,996.74,2.3,0.7459,DA
2,1,3,224.0,2702.12,60.0,0.6006,BB
3,4,5,38.0,281.76,2.3,0.2969,FA
1,1,2,2.0,16.0,2.3,0.425,EA
1,1,3,36.0,2908.8,60.0,0.6783,BB
1,1,2,50.0,425.0,2.3,0.192,FA
1,1,2,50.0,425.0,2.3,0.192,FA
1,1,1,250.0,1747.5,2.3,0.5363,CB
1,1,2,42.0,357.0,2.3,0.1905,FA
1,1,2,1200.0,3414.0,60.0,0.5849,BB
1,1,3,534.0,1575.36,2.3,0.4976,EB
4,6,12,46.0,337.02,2.3,0.5136,DA
5,8,17,80.0,949.05,2.3,0.652,DA
1,1,1,1680.0,4972.8,60.0,0.5169,BB
4,5,10,49.0,332.51,2.3,0.49200000000000005,EA
2,3,6,30.0,843.34,2.3,0.6927,DA
2,2,3,1704.0,6232.8,60.0,0.4825,EB
1,1,5,472.0,8915.76,260.0,0.6325,AB
2,2,7,1656.0,20740.8,1280.0,0.4761,EB
1,1,1,312.0,1544.4,2.3,0.5697,CB
1,1,1,150.0,2146.5,2.3,0.7351,CB
1,1,1,250.0,2742.5,60.0,0.634,BB
1,1,5,26.0,2634.5,2.3,0.6759,BB
1,2,3,608.0,5309.0,60.0,0.6611,AB
1,1,2,912.0,2300.64,2.3,0.5397,CB
2,3,3,36.0,486.28,2.3,0.4995,EA
4,5,7,33.0,716.48,2.3,0.7144,DA
4,7,13,61.0,649.83,2.3,0.5913,DA
3,5,12,50.0,457.87,2.3,0.5634,DA
1,2,6,126.0,1511.82,2.3,0.5916,CB
1,2,4,114.0,1425.3,2.3,0.5579,DB
4,7,16,83.0,1095.09,2.3,0.5729,DA
3,5,11,66.0,1452.56,2.3,0.7575,DA
1,1,1,400.0,2100.0,2.3,0.2034,FB
1,1,2,2400.0,4992.0,60.0,0.5387,BB
1,2,5,890.0,7515.0,260.0,0.6201,AB
2,4,7,471.0,4584.61,60.0,0.6229,BA
1,1,1,200.0,774.0,2.3,0.3824,EA
1,1,1,1000.0,4500.0,60.0,0.0586,FB
4,10,22,818.0,7843.78,260.0,0.49,EB
1,1,1,1000.0,3500.0,60.0,0.091,FB
1,2,2,560.0,3358.0,60.0,0.5453,BB
1,1,1,120.0,900.0,2.3,-0.2735,FA
1,1,1,600.0,3150.0,60.0,0.1855,FB
1,1,1,1000.0,4500.0,60.0,0.0586,FB
1,2,2,210.0,1603.2,2.3,0.6666,CB
2,2,10,590.0,7076.92,260.0,0.6196,AB
1,2,4,137.0,2347.25,2.3,0.6423,CB
1,1,1,200.0,1548.0,2.3,0.631,CB
1,1,2,4032.0,8628.48,260.0,0.4418,EB
1,1,2,468.0,7314.0,260.0,0.3938,EB
1,1,1,1512.0,3008.88,60.0,0.544,BB
1,2,5,114.0,1585.38,2.3,0.6115,CB
1,1,1,648.0,2021.76,2.3,0.5525,CB
1,1,2,48.0,3292.8,60.0,0.6672,BB
1,1,1,120.0,1020.0,2.3,-0.1237,FA
1,1,1,1000.0,3990.0,60.0,0.3888,EB
1,1,2,254.0,2225.5,2.3,0.6461,CB
2,2,3,540.0,2088.6,2.3,0.2692,FB
1,1,2,84.0,738.0,2.3,0.4371,EA
1,1,3,3600.0,6900.0,260.0,0.4871,EB
3,3,10,128.0,1305.46,2.3,0.6096,DA
3,3,9,55.0,740.82,2.3,0.626,DA
1,1,2,350.0,2618.5,2.3,0.5522,BB
1,2,2,5298.0,34891.87,1280.0,0.6176,AB
1,1,1,1000.0,7490.0,260.0,0.5855,AB
1,2,2,244.0,1551.84,2.3,0.7596,CB
2,4,6,244.0,1572.52,2.3,0.6276,CA
1,2,3,29.0,800.0,2.3,0.8751,DB
1,2,4,18.0,520.0,2.3,0.8818,DB
1,1,9,168.0,3739.89,60.0,0.6652,BB
1,1,1,3000.0,15750.0,260.0,0.2063,FB
1,2,2,18.0,336.42,2.3,0.8667,DB
1,1,1,500.0,2625.0,2.3,0.2219,FB
1,2,2,202.0,1508.98,2.3,0.5704,CB
1,2,2,22.0,740.0,2.3,0.8554,DB
1,1,2,150.0,1572.0,2.3,0.6541,CB
1,1,2,2016.0,4314.24,60.0,0.4587,EB
1,1,1,200.0,2370.0,2.3,0.6621,CB
1,2,4,228.0,3781.96,60.0,0.6686,BB
4,5,13,2016.0,17291.76,260.0,0.6101,AA
1,2,3,174.0,1846.28,2.3,0.7044,CB
1,1,1,336.0,1512.0,2.3,0.5268,CB
2,2,4,880.0,5051.04,60.0,0.5488,AB
1,1,1,500.0,2625.0,2.3,0.2219,FB
1,1,4,520.0,4785.6,60.0,0.5061,BB
1,1,1,5000.0,22500.0,1280.0,0.0246,FB
1,1,1,10000.0,2000.0,2.3,0.2562,FB
1,1,1,22500.0,6525.0,60.0,0.5422,AB
1,1,1,8000.0,36000.0,1280.0,0.046,FB
1,2,3,5200.0,1496.0,2.3,0.5274,DB
1,1,1,25000.0,5000.0,60.0,0.2453,FB
2,3,5,6013.0,2727.16,60.0,0.5803,BA
1,1,1,3000.0,13500.0,260.0,0.0623,FB
1,1,1,52300.0,15167.0,260.0,0.4562,EB
1,1,1,8280.0,18036.6,260.0,0.3025,EB
1,1,1,756.0,3477.6,60.0,0.4971,EB
4,8,34,271.0,6718.83,260.0,0.6231,AA
1,1,1,15000.0,67500.0,1280.0,0.0625,FB
1,1,2,1704.0,3347.28,60.0,0.462,EB
1,1,3,936.0,2895.36,60.0,0.4646,EB
2,2,3,1440.0,4737.6,60.0,0.5044,BB
3,4,8,5116.0,6097.44,60.0,0.4934,EB
1,1,1,1200.0,3588.0,60.0,0.5191,BB
4,4,13,3636.0,49652.16,1280.0,0.5225,AA
1,2,4,24.0,660.0,2.3,0.8831,DB
